Nyquist frequency(c/d):359.99462660448114
f(c/d) f_err(c/d) snr amp amp_err phase phase_err residual_noise
4.743877949321993981e+01 5.211681016483944490e-05 3.429008509526600079e+01 1.029698063631107443e-03 7.951244710757908961e-06 2.795858959170017810e-01 1.509517367814089579e-02 -1.803509159383597029e-07
5.369185727869679425e+01 4.690332954087778229e-05 3.641418914620645353e+01 9.478334790078869884e-04 6.765373662321133080e-06 6.223870781331096502e+00 4.482486094055250780e-01 -4.907691158416802407e-07
5.049181171092725862e+01 3.611428895361703558e-05 3.962131583968307069e+01 9.249163166728154853e-04 5.067990004937520804e-06 2.232237188203691769e+00 3.352543899863918986e-01 -9.470693721482135815e-07
5.423778920429275274e+01 5.092379959652745846e-05 4.173374515074169722e+01 5.569071389764729480e-04 4.316935514533775588e-06 3.119011476278072958e-01 4.729007753642016088e-01 -7.877627496982936182e-07
3.906301719453261967e+01 5.550670327623308698e-05 4.043647697421756249e+01 4.435843745991510287e-04 3.700918625525975396e-06 5.620990684752123379e+00 5.169199131081806398e-01 -6.782025158282711037e-07
4.654296716703915848e+01 5.018749712192181262e-05 2.726383577046040330e+01 4.148332010171016499e-04 3.147019690782559512e-06 5.246406152243351606e+00 4.659140703569779607e-01 -4.862445270476533876e-07
4.891874608127132262e+01 8.439269949369757127e-05 1.908960782879211138e+01 2.309436594562702726e-04 2.951392687496422366e-06 4.017263148091913649e+00 7.837080108876488538e-01 -3.259717627087237290e-07
4.352781674518769250e+01 8.520584742149837887e-05 2.064045170710437560e+01 2.143217316003822280e-04 2.753768858411826262e-06 4.456816189659179805e+00 7.906011438562914329e-01 -2.666934686440250322e-07
4.728476177015538440e+01 9.525061383163249370e-05 2.208814623744520489e+01 1.819149061514007207e-04 2.621093998337449268e-06 6.014822238651744257e+00 8.805910637919931450e-01 -2.752090017500275742e-07
5.745214753608470915e+01 1.012029288823812343e-04 2.695090185354937162e+01 1.633949655050203091e-04 2.524844666445513476e-06 7.247680617959104676e-01 9.401692649991868489e-01 -3.354593565887134225e-07
3.476052867191479123e+01 1.112013436267413817e-04 3.743180083591464324e+01 1.430100906990369053e-04 2.382547050013469362e-06 4.665040245703454325e+00 1.032828778567558725e+00 -3.302776409375802719e-07
3.812916008121630540e+01 1.163628166850180014e-04 3.319583494310279548e+01 1.318515704901784759e-04 2.304199910433212662e-06 4.513961507666455653e+00 1.081737729059229602e+00 -2.838442677690770106e-07
4.526956959667473512e+01 1.237052252035606835e-04 1.590473268145371399e+01 1.201266272974988927e-04 2.243904337167799111e-06 4.423586859869493182e+00 1.149041441809320663e+00 -2.999931314013078558e-07
5.149657248371003249e+01 1.214865136785865597e-04 1.554120440614317822e+01 1.183556130059517866e-04 2.182750632044618887e-06 5.290483874335199843e+00 1.126788886005151591e+00 -2.922276629500883815e-07
4.726944068513522978e+01 1.501500490424145697e-04 1.554891011421654134e+01 9.366910246653483709e-05 2.128125163132543201e-06 1.478981583406900002e+00 1.392801628985675499e+00 -2.927794245373496882e-07
5.385437490843071373e+01 1.589260563850080612e-04 1.297980389612998664e+01 8.683485172992298881e-05 2.099499249129839671e-06 5.020018225791647914e+00 1.475023602954535162e+00 -2.385614189874018663e-07
4.971273406961142882e+01 1.563771017631950357e-04 1.293368384926373871e+01 8.646865884492810372e-05 2.049713639118162440e-06 5.475290477084372220e+00 1.457787089329028785e+00 -2.588183333888330408e-07
5.083121297163457797e+01 1.547563597872748497e-04 1.566302109083180660e+01 8.559865700903142435e-05 2.010249606405826182e-06 2.072402382520830422e+00 1.435436821595238222e+00 -2.289497418002553498e-07
4.382882602874290257e+01 1.552523206141600144e-04 1.291120264182857191e+01 8.359626204495287937e-05 1.957431981415528065e-06 6.599181428791467408e-01 1.449078080156604109e+00 -2.787421522363012193e-07
6.513491632208172177e+01 1.531041913377435176e-04 2.408885687429098965e+01 8.297097510533957255e-05 1.956786634131581546e-06 1.829713859916497043e+00 1.417949561172623829e+00 -2.958242269570221227e-07
4.468329014383038356e+01 1.512698221452752441e-04 1.694396088642539056e+01 8.219191640281078577e-05 1.877538794722505481e-06 1.944955093592365403e+00 1.405364753076760786e+00 -2.053272251844975321e-07
4.955954399707950842e+01 1.548057198028473104e-04 1.488595997076902577e+01 7.868694674645056262e-05 1.846973308402793611e-06 5.438281399504048430e+00 1.439533988377532214e+00 -2.183043427648196287e-07
4.203591373921295826e+01 1.559344015294147131e-04 1.673189289625544873e+01 7.656399078709320296e-05 1.798700457798506744e-06 1.096869727262811622e+00 1.444414444642220907e+00 -1.860487287773709128e-07
4.165032209181692480e+01 1.656286892961704557e-04 1.818814757192735243e+01 7.082831469456335666e-05 1.765864622834754671e-06 4.914380928732845710e+00 1.539237402642320562e+00 -2.532962330447674568e-07
4.813774985489761349e+01 1.798086990994325022e-04 1.543881090437644943e+01 6.423666347778579991e-05 1.748407012363504915e-06 4.710509072883819037e+00 1.667888140396169394e+00 -2.777545270965324467e-07
4.590024862211419077e+01 1.804526302314433939e-04 1.429561885205206551e+01 6.305125733969975095e-05 1.718821691966551812e-06 1.786389830461229677e-01 1.652789519169814980e+00 -2.705439896727652922e-07
5.026863434142080678e+01 2.044049473676981142e-04 1.578755487684608561e+01 5.499488159526304813e-05 1.704916939979378573e-06 1.499971785040817185e+00 1.899888446204403669e+00 -2.843803821423130416e-07
7.567814529333411144e+01 2.134425720747810408e-04 1.724224622721335010e+01 5.209100346950641349e-05 1.733968856497583087e-06 2.651236407944757900e+00 1.977545661791362708e+00 -2.715572839225770847e-07
5.834679110270524660e+01 2.213254732813994764e-04 9.200595648256189918e+00 4.972733357615518972e-05 1.682568024088845541e-06 4.703314664133890766e+00 2.047192504936584889e+00 -2.632835600753415779e-07
5.422690546042284865e+01 2.197213553662605940e-04 9.168481275913880069e+00 4.958003958517977552e-05 1.658362568937044842e-06 2.815779485845169905e+00 2.050184361814520351e+00 -2.663012186699012255e-07
4.543721189021221818e+01 2.251629394680523940e-04 1.338246203931145395e+01 4.791740841614794926e-05 1.628831857329039075e-06 2.812519371059968076e+00 2.096727320584948817e+00 -3.166441830520920913e-07
5.446323701627451896e+01 2.303074088073367941e-04 9.480028028459365430e+00 4.640292876009017106e-05 1.626857578271304335e-06 6.633481919501960089e-01 2.136154568602333104e+00 -2.918866515504453961e-07
5.355278274453394971e+01 2.604784256658672684e-04 1.255486542455562038e+01 4.072276056842603648e-05 1.613705102593806925e-06 2.755775065057178619e+00 2.424343968160103113e+00 -2.781872797658995335e-07
4.217310319434771770e+01 2.595113821088335907e-04 1.248124081615945435e+01 4.061450748975176805e-05 1.586108366488416570e-06 1.851507395045297599e+00 2.409789575606517520e+00 -2.627034948543242187e-07
5.825188011416062750e+01 2.665851304572373621e-04 1.368691935503013291e+01 3.922964533499931925e-05 1.597792883439408815e-06 2.034306667345695097e+00 2.488421068703506656e+00 -2.452343837105859951e-07
4.239625437022271370e+01 2.680299889278744095e-04 4.673887467904791926e+00 3.874556698077403962e-05 1.564314390887763691e-06 4.790322010078421400e+00 2.489848224896463513e+00 -2.344630787503833826e-07
1.811485158172572441e-01 2.577340841742176408e-04 4.583467031164605743e+00 3.870905642126835813e-05 1.560041806614042055e-06 5.618621044828421951e+00 2.391575166112010820e+00 1.450010778036259378e-06
3.034228765191167021e-01 2.600609993365648890e-04 5.341855973633959920e+00 3.948804759556886259e-05 1.527889322262405123e-06 2.743445861316312850e+00 2.414304433418502427e+00 -1.364389017802049871e-06
